"","endYear","cdeSchoolCode","veryAbbreviatedName","articulationArea","schoolCategory","alternateEducationCampus","titleISchool","totalPKthru12Count","startGrade","endGrade","freeAndReducedCount","percentFreeAndReduced","minorityCount","minorityPct","elCount","elPct","spedCount","spedPct","giftedAndTalentedCount","gtPct","ethnicityCount","whiteCount","asianCount","indianCount","blackCount","hawaiianCount","ethnicityPct","whitePct","asianPct","indianPct","blackPct","hawaiinPct","twoOrMoreCount","twoOrMorePct","gradeRange","emhLevel","charterSchool","optionSchool","edLevelEmh"
"1","2021","4408","Jeffco Virtual Academy","Options","Options","TRUE","FALSE",384,"K","12",42,0.109375,135,0.3515625,15,0.0390625,28,0.0729166666666667,46,0.119791666666667,104,249,3,5,3,NA,0.270833333333333,0.6484375,0.0078125,0.0130208333333333,0.0078125,NA,20,0.0520833333333333,"K-12","K-12","FALSE","TRUE","multi"
"2","2021","4411","Jeffco Remote Learning Program","Options","Options","TRUE","FALSE",1065,"6","12",306,0.287323943661972,552,0.51830985915493,92,0.0863849765258216,162,0.152112676056338,72,0.0676056338028169,409,513,48,9,29,5,0.384037558685446,0.48169014084507,0.0450704225352113,0.00845070422535211,0.0272300469483568,0.00469483568075117,52,0.0488262910798122,"6-12","Jr/Sr","FALSE","TRUE","multi"
