endYear,cdeSchoolCode,veryAbbreviatedName,articulationArea,schoolCategory,alternateEducationCampus,titleISchool,totalPKthru12Count,startGrade,endGrade,freeAndReducedCount,percentFreeAndReduced,minorityCount,minorityPct,elCount,elPct,spedCount,spedPct,giftedAndTalentedCount,gtPct,ethnicityCount,whiteCount,asianCount,indianCount,blackCount,hawaiianCount,ethnicityPct,whitePct,asianPct,indianPct,blackPct,hawaiinPct,twoOrMoreCount,twoOrMorePct,gradeRange,emhLevel,charterSchool,optionSchool,edLevelEmh
2021,4408,Jeffco Virtual Academy,Options,Options,TRUE,FALSE,384,K,12,42,0.109375,135,0.3515625,15,0.0390625,28,0.07291666666666667,46,0.11979166666666667,104,249,3,5,3,NA,0.2708333333333333,0.6484375,0.0078125,0.013020833333333334,0.0078125,NA,20,0.052083333333333336,K-12,K-12,FALSE,TRUE,multi
2021,4411,Jeffco Remote Learning Program,Options,Options,TRUE,FALSE,1065,6,12,306,0.28732394366197184,552,0.5183098591549296,92,0.0863849765258216,162,0.15211267605633802,72,0.0676056338028169,409,513,48,9,29,5,0.38403755868544603,0.48169014084507045,0.04507042253521127,0.008450704225352112,0.027230046948356807,0.004694835680751174,52,0.048826291079812206,6-12,Jr/Sr,FALSE,TRUE,multi
